BOROUGH,longitude,latitude,Residential,Education Facility,Cultural Facility,Recreational Facility,Social Services,Transportation Facility,Commercial,Government Facility,Religious Institution,Health Services,Public Safety,Water,Miscellaneous
Manhattan,-73.92811720244192,40.78120729499119,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.92842435832476,40.7878460897682,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.91953924628643,40.79795621756978,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.9167663137718,40.80158348385791,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.91960618450389,40.77241338296383,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.83274261709064,40.74929524364994,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.92216558652913,40.78264797336841,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.9209540591343,40.781724378443286,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.92589203152889,40.8780028895429,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.92138723059898,40.85251099580629,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.78792311143854,40.858267569500086,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.924162427158,40.87646658243171,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.92413116209111,40.8764871256308,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.92154984417546,40.87819446834413,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.92159246792674,40.87816625834848,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.95054354422797,40.85124357437054,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.95047951067171,40.85123097024666,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.9580079079661,40.75838361317761,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.95808568715634,40.75841793372376,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.95076277848078,40.75524409106362,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.95064228884173,40.755191475368036,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-74.04261429156107,40.60730314393105,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-74.04284427793243,40.607246488733075,0,0,0,0,0,1,0,0,0,0,0,0,0
Staten Island,-74.0442973554536,40.60659737717664,0,0,0,0,0,1,0,0,0,0,0,0,0
Staten Island,-74.04411432923285,40.60668477661086,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.9580216105277,40.758486812294365,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.95061614358269,40.755299567687175,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.93356569314234,40.81958142887047,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.93212917315464,40.81947961779272,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.76817784834009,40.77872219308121,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.93454864454048,40.80564228988079,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.93178265616959,40.80788100477584,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.933127752929,40.80738730455517,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.93264383502428,40.80748582906612,0,0,0,0,0,1,0,0,0,0,0,0,0
Staten Island,-74.14242545751016,40.640951703696096,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99925104558386,40.7079895499975,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.99400146257119,40.70382390966626,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.8475843699289,40.73909667385638,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.82000366280647,40.59324636874174,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.92261177027989,40.85942950137242,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97465434848654,40.72125569962278,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.95062166945662,40.85125895248109,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.97638285803387,40.65139618446793,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.934275932126,40.82800203010812,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.93299829473433,40.82816305583072,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.93382359070797,40.81415212898964,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.93241052072209,40.81411596327965,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99174378896677,40.70964512806461,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99214581403187,40.70959990882026,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.98956751136944,40.70493342771582,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.98914662747895,40.704978040645166,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.88644479606167,40.575810245351704,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.88366328863745,40.57120288683844,0,0,0,0,0,1,0,0,0,0,0,0,0
Staten Island,-74.20337122724635,40.527091378162666,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.95280277517563,40.73909993777964,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.95269137184688,40.73942656583671,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.91884070334942,40.799160936165315,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.92889625864403,40.80091499526737,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.94623816354101,40.76374381841958,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.9436631315316,40.762472719519295,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.90554696839195,40.83655240568772,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.87419920569045,40.82417867375985,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.8300950169235,40.88176665140218,0,0,0,0,0,1,0,0,0,0,0,0,0
